a,a_over_Lambda,a_minus_half
26765526103,0.99979014,13379953903
26765530529,0.99979030,13379958329
26765530607,0.99979030,13379958407
26765530739,0.99979031,13379958539
26765532203,0.99979036,13379960003
26765532223,0.99979036,13379960023
26765536877,0.99979054,13379964677
26765539937,0.99979065,13379967737
26765546999,0.99979092,13379974799
26765549777,0.99979102,13379977577
26765551577,0.99979109,13379979377
26765554073,0.99979118,13379981873
26765556269,0.99979126,13379984069
26765558747,0.99979136,13379986547
26765559629,0.99979139,13379987429
26765560123,0.99979141,13379987923
26765560573,0.99979142,13379988373
26765563717,0.99979154,13379991517
26765568923,0.99979174,13379996723
26765718457,0.99979732,13380146257
26765732713,0.99979785,13380160513
26765785789,0.99979984,13380213589
26765788249,0.99979993,13380216049
26765802727,0.99980047,13380230527
26765804477,0.99980053,13380232277
26765806187,0.99980060,13380233987
26765890783,0.99980376,13380318583
26765941339,0.99980565,13380369139
26765950639,0.99980599,13380378439
26765978689,0.99980704,13380406489
26766031447,0.99980901,13380459247
26766090259,0.99981121,13380518059
26766090887,0.99981123,13380518687
26766206977,0.99981557,13380634777
26766230017,0.99981643,13380657817
26766295649,0.99981888,13380723449
26766309649,0.99981940,13380737449
26766313109,0.99981953,13380740909
26766326239,0.99982002,13380754039
26766326789,0.99982004,13380754589
26766327647,0.99982008,13380755447
26766337597,0.99982045,13380765397
26766342641,0.99982064,13380770441
26766345139,0.99982073,13380772939
26766346939,0.99982080,13380774739
26766354047,0.99982106,13380781847
26766354289,0.99982107,13380782089
26766359029,0.99982125,13380786829
26766359153,0.99982125,13380786953
26766363521,0.99982142,13380791321
26766364739,0.99982146,13380792539
26766364993,0.99982147,13380792793
26766368719,0.99982161,13380796519
26766372989,0.99982177,13380800789
26766376909,0.99982192,13380804709
26766379259,0.99982200,13380807059
26766380029,0.99982203,13380807829
26766381197,0.99982208,13380808997
26766383879,0.99982218,13380811679
26766383989,0.99982218,13380811789
26766384319,0.99982219,13380812119
26766385639,0.99982224,13380813439
26766387067,0.99982230,13380814867
26766389933,0.99982240,13380817733
26766390949,0.99982244,13380818749
26766391129,0.99982245,13380818929
26766391777,0.99982247,13380819577
26766394943,0.99982259,13380822743
26766621307,0.99983105,13381049107
26766658162,0.99983242,13381085962
26766674533,0.99983303,13381102333
26766677437,0.99983314,13381105237
26766682057,0.99983332,13381109857
26766703127,0.99983410,13381130927
26766760589,0.99983625,13381188389
26766760849,0.99983626,13381188649
26766774443,0.99983677,13381202243
26766781177,0.99983702,13381208977
26766843833,0.99983936,13381271633
26766856517,0.99983983,13381284317
26766861697,0.99984003,13381289497
26766861893,0.99984003,13381289693
26766999209,0.99984516,13381427009
26767001299,0.99984524,13381429099
26767006633,0.99984544,13381434433
26767007843,0.99984548,13381435643
26767012973,0.99984568,13381440773
26767015039,0.99984575,13381442839
26767015433,0.99984577,13381443233
26767015579,0.99984577,13381443379
26767023989,0.99984609,13381451789
26767024409,0.99984610,13381452209
26767024523,0.99984611,13381452323
26767033457,0.99984644,13381461257
26767035599,0.99984652,13381463399
26767375471,0.99985922,13381803271
26767377827,0.99985930,13381805627
26767388357,0.99985970,13381816157
26767392667,0.99985986,13381820467
26767392697,0.99985986,13381820497
26767418497,0.99986082,13381846297
26767424743,0.99986106,13381852543
26767436467,0.99986150,13381864267
26767437947,0.99986155,13381865747
26767442893,0.99986174,13381870693
26767443707,0.99986177,13381871507
26767444447,0.99986179,13381872247
26767448647,0.99986195,13381876447
26767499129,0.99986384,13381926929
26767503317,0.99986399,13381931117
26767504277,0.99986403,13381932077
26767509323,0.99986422,13381937123
26767511479,0.99986430,13381939279
26767517069,0.99986451,13381944869
26767522013,0.99986469,13381949813
26767522399,0.99986471,13381950199
26767535467,0.99986519,13381963267
26767535579,0.99986520,13381963379
26767536259,0.99986522,13381964059
26767538909,0.99986532,13381966709
26767540159,0.99986537,13381967959
26767540489,0.99986538,13381968289
26767540529,0.99986538,13381968329
26767541033,0.99986540,13381968833
26767542713,0.99986546,13381970513
26767543811,0.99986550,13381971611
26767544899,0.99986555,13381972699
26767547383,0.99986564,13381975183
26767640671,0.99986912,13382068471
