L,M,eta,t_found,log10_t,g_over_M
181,18,0.3,2638.58712369147,3.421371438749551,0.7239722101838038
181,18,0.2,2162983.6330277,6.335053233210406,0.801662979594921
181,18,0.1,58312905924.8281,10.765764684289707,0.904763126149712
181,18,0.05,3749140523743.61,12.573931718773828,0.9545779896019773
191,19,0.3,73367.4335392895,4.865503327317663,0.703207657812066
191,19,0.2,67102908.6354278,7.826741345458685,0.8272354627080728
191,19,0.1,39591646000.5419,10.597603557677758,0.9091283374858904
191,19,0.05,25329420645746.8,13.40362525638223,0.9635412688326592
193,20,0.3,60322.6342395737,4.78048029855686,0.700028135037321
193,20,0.2,6406403.83529781,6.806614311460736,0.8233424237822723
193,20,0.1,791202633313.745,11.898287724028615,0.9343666894505727
193,20,0.05,88208472874859.8,13.945510303341159,0.9602598742762025
199,21,0.3,60322.3467464446,4.780478228737153,0.7164933031878012
199,21,0.2,539377717.994642,8.731893001531313,0.841576762695227
199,21,0.1,4964662184827.97,12.695889702729405,0.9025363324201746
199,21,0.05,686681467312544.0,14.836755326478947,0.9791551983487027
239,22,0.3,1430092.46283852,6.155364117746442,0.7201826464053437
239,22,0.2,259381511.488266,8.4139390166795,0.816596208036923
239,22,0.1,153402959390.51,11.185833737934807,0.9028852933552578
239,22,0.05,1.57702156912135e+16,16.1978376332695,0.9614096322042641
241,23,0.3,6191538.8713343,6.791798603829166,0.7364976387257884
241,23,0.2,4628007359.93448,9.665394040940125,0.8051329875833181
241,23,0.1,584538338846.885,11.766813001047217,0.9075501009255097
241,23,0.05,5.890401192885e+17,17.770144875419092,0.9616948791595028
251,24,0.3,1421208.73772736,6.152657868909544,0.7072303631848168
251,24,0.2,377703670.153127,8.577151204895056,0.8187788241361948
251,24,0.1,7818833271909.68,12.89314195237253,0.9279880456842552
251,24,0.05,6.54817229893323e+16,16.816120098273725,0.9609509040540968
269,25,0.3,16423460.7888394,7.2154646779434035,0.7169937502172283
269,25,0.2,2048745632.1666,9.31148804068327,0.8305583316646498
269,25,0.1,622379531040202.0,14.794055301040647,0.9064103302947459
269,25,0.05,1.35424057938568e+17,17.13169582315158,0.9656480206380721
379,33,0.3,88234953621985.7,13.945640661753123,0.7490098972842137
379,33,0.2,2.5881706516244e+17,17.412992908246824,0.8747645308561766
379,33,0.1,4.76135421530205e+18,18.677730491499464,0.9152007038850969
379,33,0.05,4.4803716173796e+28,28.651314037365104,0.9549095710108976
271,26,0.3,12584247267.3945,10.099827243134778,0.7827048834622741
271,26,0.2,415040605848064.0,14.618090588358012,0.8423270456424035
271,26,0.1,5.28617291924464e+15,15.723141365501228,0.9129939188646752
271,26,0.05,1.19949226157416e+19,19.078997450497695,0.958436717648226
373,32,0.3,173909082229.772,11.24032226319464,0.7633596057747398
373,32,0.2,4.89100945580063e+15,15.689398502444686,0.8597144193291739
373,32,0.1,2.79026552122206e+18,18.44564553263372,0.9240031337353669
373,32,0.05,9.86162451229678e+26,26.99394846246788,0.9569447772014645
283,27,0.3,143726958918.23,11.157538236549739,0.7251695394170836
283,27,0.2,711902612505.901,11.852420586692887,0.811607973397394
283,27,0.1,1.1637593723916e+16,16.065863191614802,0.9156957176690524
283,27,0.05,3.38088499407085e+20,20.529030397831754,0.9506118804821931
353,31,0.3,478807975527.529,11.680161375858743,0.7861418882885725
353,31,0.2,519794586598780.0,14.71583175222825,0.8116134436536325
353,31,0.1,1.53667673866121e+17,17.186582517219218,0.9094351365788614
353,31,0.05,7.1040303911562e+22,22.851504810693292,0.9507008403615519
293,28,0.3,50380601808.8796,10.702263350949204,0.7116261769237655
293,28,0.2,182930804571.947,11.262286844509427,0.8245029899600314
293,28,0.1,1.36192806094104e+15,15.134154168104322,0.9025436883477379
293,28,0.05,1.15457978799771e+21,21.062423950496846,0.9501376061022679
349,30,0.3,6053310149067.68,12.781992926114425,0.7825709126461098
349,30,0.2,121953926166067.0,14.086195786485016,0.8101045475658906
349,30,0.1,1.43027393630935e+22,22.155419224621646,0.9497067629946463
349,30,0.05,1.51290157801199e+22,22.17981067586415,0.9500834000738493
313,29,0.3,135936747190.418,11.133336873544504,0.7355741093438217
313,29,0.2,354270762427.201,11.549335311970545,0.8085166504741228
313,29,0.1,1.01632851624407e+18,18.007034111226325,0.9233097470600228
